model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
4,2014,11200,0,67068,0,125,57.6,2
5,2018,27000,0,14827,1,145,42.8,2
4,2016,16000,0,62794,0,160,51.4,3
0,2017,12750,0,26676,0,145,72.4,1.5
6,2014,14500,0,39554,0,160,50.4,3
4,2016,14900,0,35309,0,125,60.1,2
4,2017,16000,0,38538,0,125,60.1,2
1,2018,16250,1,10401,1,145,52.3,1.5
3,2017,14250,1,42668,0,30,62.8,2
4,2016,14250,0,36099,0,20,68.9,2
10,2017,15500,1,74907,0,145,52.3,2
0,2017,11800,1,29840,0,20,68.9,2
10,2016,15500,0,77823,0,125,54.3,2
1,2015,10500,1,31469,0,20,68.9,2
10,2017,22000,0,19057,0,145,54.3,2
2,2017,16500,1,16570,0,125,58.9,2
2,2017,14250,0,55594,3,135,148.7,2
2,2017,16000,0,45456,0,30,64.2,2
0,2017,15500,0,22812,0,20,68.9,1.5
3,2014,14000,0,47348,0,125,60.1,2
0,2015,9700,0,75124,0,20,70.6,2
2,2015,12600,0,78957,0,30,62.8,2
2,2016,15100,0,29213,0,30,64.2,2
0,2016,9400,1,44498,0,0,83.1,1.5
0,2016,14300,0,22461,0,20,67.3,2
0,2016,11200,1,23005,1,125,53.3,1.5
2,2019,17800,0,22310,0,145,64.2,2
2,2016,14400,0,51994,0,30,62.8,2
12,2016,19750,0,96213,0,165,52.3,2
10,2015,17400,0,50316,0,200,47.9,3
3,2017,16800,0,44011,0,150,65.7,2
11,2017,23000,0,34960,0,150,54.3,2
22,2016,17100,0,25269,3,0,470.8,0.6
0,2017,20500,0,24029,1,145,39.8,3
0,2017,11900,1,22920,1,145,53.3,1.5
1,2017,13000,0,61818,3,0,141.2,1.5
2,2015,11500,1,59634,0,125,61.4,2
0,2016,13500,1,29226,0,30,62.8,2
8,2017,18900,0,33514,0,145,60.1,2
0,2018,14600,0,6522,1,145,37.2,1.5
2,2016,15800,1,11231,1,145,47.9,2
0,2016,11400,1,21591,1,125,53.3,1.5
10,2013,12000,0,79972,0,200,47.1,3
0,2018,17500,0,14037,1,145,54.3,1.5
4,2017,23500,0,25034,0,200,47.9,3
8,2016,16700,0,44478,0,125,60.1,2
10,2017,18000,0,74852,0,150,47.1,3
3,2016,15500,0,45856,0,30,65.7,2
0,2016,9200,1,48858,0,0,83.1,1.5
0,2017,11200,1,40399,0,145,68.9,2
0,2016,13200,1,17393,0,30,65.7,2
4,2014,11000,0,84816,0,30,62.8,2
2,2017,18500,0,27139,0,160,51.4,3
0,2017,12750,0,91563,0,125,60.1,2
2,2014,14000,1,32139,1,205,43.5,2
8,2017,14000,0,54120,0,30,65.7,2
8,2017,14000,1,20925,0,150,68.9,2
2,2016,12750,1,30521,0,20,68.9,2
8,2018,18000,1,16066,1,150,51.4,1.5
0,2015,11100,1,11524,0,0,83.1,1.5
0,2017,12700,1,21809,1,145,53.3,1.5
0,2017,14500,0,27245,0,145,68.9,2
2,2013,12750,0,35736,0,125,58.9,2
8,2017,14100,0,55782,0,145,65.7,2
0,2016,10800,1,26404,1,125,53.3,1.5
0,2016,13000,1,26631,1,125,52.3,1.5
0,2016,12500,1,24111,1,145,47.1,1.6
2,2017,13600,1,22763,1,145,48.7,2
2,2016,12700,1,17385,0,20,72.4,2
4,2016,15600,0,35474,0,125,60.1,2
3,2016,15250,1,16584,0,30,62.8,2
0,2018,11700,1,30273,0,145,53.3,1.5
1,2017,10900,1,62021,0,145,65.7,2
4,2016,14400,0,51552,0,30,62.8,2
0,2016,11100,1,29508,1,125,53.3,1.5
0,2017,11100,1,30865,0,145,72.4,1.5
4,2014,12400,0,46356,0,30,62.8,2
0,2016,12800,1,18343,0,20,70.6,1.5
4,2014,15000,0,13858,0,125,57.6,2
1,2017,12750,1,33752,1,125,52.3,1.5
10,2016,21750,0,19083,0,150,54.3,2
1,2017,13900,0,46281,1,125,51.4,1.5
8,2017,14000,0,54183,0,150,65.7,2
8,2017,15200,0,36701,0,30,65.7,2
2,2017,13500,0,48082,1,150,51.4,2
8,2016,12150,1,77482,0,20,68.9,2
1,2017,16000,0,32389,3,0,141.2,1.5
4,2016,14000,0,39235,0,30,62.8,2
2,2018,19490,0,30703,0,145,57.6,2
0,2015,15499,2,20000,0,125,60.1,2
1,2017,13000,2,34971,0,150,72.4,1.5
0,2014,10600,2,44900,0,30,64.2,2
10,2017,23000,2,16945,0,150,54.3,2
17,2016,29998,2,34209,1,300,34,3
0,2017,12498,1,14138,0,20,72.4,1.5
0,2015,7948,1,74375,0,30,65.7,2
8,2017,17800,0,31238,0,145,55.4,2
2,2015,13100,1,37204,0,30,64.2,2
0,2017,11400,1,26265,0,0,83.1,1.5
2,2016,14800,0,38838,0,125,57.6,2
10,2016,15900,0,59692,0,145,54.3,2
2,2016,16300,0,34623,0,125,57.6,2
2,2017,14800,1,29968,0,30,64.2,2
2,2017,19700,0,27748,0,200,49.6,3
2,2015,14450,0,47288,0,30,62.8,2
4,2016,13500,0,64117,0,30,65.7,2
4,2015,10900,0,79563,0,125,60.1,2
2,2016,12200,1,34842,0,30,67.3,2
1,2016,10600,1,24313,0,0,74.3,1.5
1,2015,9100,1,40789,0,0,74.3,1.5
2,2017,12600,0,66743,0,30,67.3,2
4,2016,13600,0,65612,0,30,62.8,2
0,2016,11700,1,21390,0,20,72.4,1.5
2,2017,12450,0,72065,0,20,70.6,2
4,2016,13500,0,62444,0,125,60.1,2
10,2013,12750,0,71558,0,160,50.4,2
8,2017,16700,0,34666,0,145,65.7,2
0,2016,11400,1,22920,0,20,72.4,1.5
